[debug | 2019-01-04 23:14:27.125] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.128] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.132] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.136] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.139] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[error | 2019-01-04 23:14:27.143] | [Lua] | [../ScriptModule/gxlua\LuaNFrame.lua:93] | RebotServerModule.addRebot cost time:20932 us some thint wrong
[debug | 2019-01-04 23:14:27.244] | [Lua] | [../ScriptModule/RebotServer\RebotServerModule.lua:228] | accountgaoyi1546614837610 login success.............
[debug | 2019-01-04 23:14:27.399] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.416] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.430] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.447] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.462] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[warning | 2019-01-04 23:14:27.463] | [NFCPluginManager::Execute:227] | frame timeout:87
[debug | 2019-01-04 23:14:27.478] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.499] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.508] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.517] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.703] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.805] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.875] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.890] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.909] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.922] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.930] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:27.978] | [Lua] | [../ScriptModule/RebotServer\RebotServerModule.lua:228] | accountgaoyi1546614837612 login success.............
[debug | 2019-01-04 23:14:28.155] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:28.161] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
[debug | 2019-01-04 23:14:28.167] | [NFIHttpClientModule::LuaHttpPost:117] | [HttpPos | {}]
