--------------------------------------------------------
-- Collect memory reference at line:29@file:../ScriptModule\module.lua
--------------------------------------------------------
-- [Table/Function/String Address/Name]	[Reference Path]	[Reference Count]
--------------------------------------------------------
-- From Root Object: table: 00000140B2BD9400 (registry)
table: 00000140B4964D50	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64]	7
table: 00000140B2BDA580	registry.2[_G].package.loaded.socket.core	7
table: 00000140B49CF720	registry.2[_G].package.loaded.coroutine.resume.[ups:function:debug_hook].[ups:function:_resume].[ups:table:LuaDebugger]	7
function: 00007FF69D5AAFB0	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_sendMsg].[ups:table:json].decode.[ups:function:decode_scanNumber].[ups:function:loadstring][line:-1@file:[C]]	7
string: "20180101000001"	registry.2[_G].StoreData.1001.opentime[string]	7
table: 00000140B49CFE20	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:table:ZZBase64]	7
string: "20990101000001"	registry.2[_G].StoreData.1001.endtime[string]	7
table: 00000140B2BDA500	registry.2[_G].package	7
function: 00007FF69D5D7750	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].connect[line:-1@file:[C]]	6
function: 00007FF69D5D8360	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].close[line:-1@file:[C]]	6
function: 00007FF69D5D7B40	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].bind[line:-1@file:[C]]	6
function: 00007FF69D5AAD70	registry.2[_G].protobuf.extract.[ups:function:expand].[ups:function:decode_message_cb].[ups:table:decode_message_mt].__pairs.[ups:function:pairs][line:-1@file:[C]]	5
table: 00000140B4EFA760	registry.2[_G].package.loaded.ProFi	5
string: "1_3000"	registry.2[_G].StoreData.2003.firstdiamond[string]	5
table: 00000140B4953140	registry.2[_G].LuaNFrame.serverModule.[userdata:metatable].___const.class	5
table: 00000140B495C270	registry.2[_G].LuaNFrame.serverNetEventModule.[userdata:metatable].___const.class	5
table: 00000140B494E510	registry.2[_G].LuaNFrame.httpServerModule.[userdata:metatable].___const.class	5
table: 00000140B4954640	registry.2[_G].NFINetClientModule	5
function: 00000140B50E2030	registry.2[_G].package.loaded.MemoryReferenceInfo.m_cBases.OutputMemorySnapshot.[ups:function:FormatDateTimeNow][line:17@file:../ScriptModule/gxlua/MemoryReferenceInfo.lua]	5
table: 00000140B494D690	registry.2[_G].LuaNFrame.httpServerModule.[userdata:metatable].___const	5
string: "1_120"	registry.2[_G].TableLevelup.60100.CostMoney[string]	5
table: 00000140B495BF70	registry.2[_G].PlayerAccountInfo.___const	5
string: "2"	registry.2[_G].TableLevelup.10001.ProduceMoney[string]	5
table: 00000140B495C5F0	registry.2[_G].PlayerAccountInfo	5
string: "4"	registry.2[_G].TableLevelup.10002.ProduceMoney[string]	5
table: 00000140B494E810	registry.2[_G].LuaNFrame.luaModule.[userdata:metatable].___const.class	5
table: 00000140B494D410	registry.2[_G].LuaNFrame.httpClientModule.[userdata:metatable].___const	5
table: 00000140B37EE400	registry.2[_G].LuaNFrame.pluginManager.[userdata:metatable].___const	5
table: 00000140B494D210	registry.2[_G].NFHttpRequest	5
table: 00000140B37EE300	registry.2[_G].LuaNFrame.pluginManager.[userdata:metatable].___const.class	5
table: 00000140B494EB10	registry.2[_G].LuaNFrame.kernelModule.[userdata:metatable].___const.class	5
table: 00000140B37ED880	registry.2[_G].LuaNFrame.kernelModule.[userdata:metatable].___const	5
table: 00000140B495BDF0	registry.2[_G].LuaNFrame.asynMongoModule.[userdata:metatable].___const.class	5
table: 00000140B495BEF0	registry.2[_G].LuaNFrame.asynMongoModule.[userdata:metatable].___const	5
table: 00000140B495BD70	registry.2[_G].NFServerData.___const	5
string: "i"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].1.2[string]	5
table: 00000140B4954EC0	registry.2[_G].NFINetClientModule.___const	5
table: 00000140B494EF90	registry.2[_G].NFHttpRequest.___const	5
function: 00000140B50E10E0	registry.2[_G].package.loaded.MemoryReferenceInfo.m_cBases.CreateObjectReferenceInfoContainer[line:50@file:../ScriptModule/gxlua/MemoryReferenceInfo.lua]	5
table: 00000140B49545C0	registry.2[_G].LuaNFrame.serverModule.[userdata:metatable].___const	5
string: "1_260"	registry.2[_G].TableLevelup.70120.CostMoney[string]	5
table: 00000140B2BD9100	registry.2[_G].package.loaded.io.stderr.[userdata:metatable]	5
table: 00000140B494DB90	registry.2[_G].LuaNFrame.luaModule.[userdata:metatable].___const	5
table: 00000140B4954DC0	registry.2[_G].LuaNFrame.mongoModule.[userdata:metatable].class.___const	5
string: "1_70"	registry.2[_G].TableLevelup.60020.CostMoney[string]	5
string: "离线利润加成"	registry.2[_G].StoreData.3034.name[string]	5
string: "1_1500"	registry.2[_G].TableLevelup.310100.CostMoney[string]	5
table: 00000140B4954040	registry.2[_G].LuaNFrame.logModule.[userdata:metatable].___const	5
table: 00000140B4954F40	registry.2[_G].LuaNFrame.mongoModule.[userdata:metatable].class	5
table: 00000140B49540C0	registry.2[_G].LuaNFrame.logModule.[userdata:metatable].___const.class	5
table: 00000140B495B470	registry.2[_G].NFServerData	5
table: 00000140B495C0F0	registry.2[_G].LuaNFrame.serverNetEventModule.[userdata:metatable].___const	5
table: 00000140B494DD90	registry.2[_G].LuaNFrame.httpClientModule.[userdata:metatable].___const.class	5
string: "I"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].132.2[string]	5
table: 00000140B495C1F0	registry.2[_G].LuaNFrame.serverNetEventModule.[userdata:metatable]	4
string: "5"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.58[string]	4
table: 00000140B37EDF00	registry.2[_G].LuaNFrame.pluginManager.[userdata:metatable]	4
string: "M"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].134.2[string]	4
string: "k"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.37[string]	4
string: "2_0"	registry.2[_G].TableBuilding.1.OpenCost[string]	4
string: "R"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].130.2[string]	4
string: "8"	registry.2[_G].TableLevelup.10004.ProduceMoney[string]	4
string: "2_7500000000"	registry.2[_G].TableBuilding.9.OpenCost[string]	4
string: "d"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].10.2[string]	4
string: "P"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].136.2[string]	4
table: 00000140B494D090	registry.2[_G].LuaNFrame.luaModule.[userdata:metatable]	4
table: 00000140B4954540	registry.2[_G].LuaNFrame.serverModule.[userdata:metatable]	4
table: 00000140B37EDA00	registry.2[_G].LuaNFrame.kernelModule.[userdata:metatable]	4
string: "m"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].6.2[string]	4
string: "x"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].7.2[string]	4
string: "r"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].2.2[string]	4
string: "S"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].137.2[string]	4
string: "U"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].139.2[string]	4
string: "1_170"	registry.2[_G].TableLevelup.100020.CostMoney[string]	4
string: "1_110"	registry.2[_G].TableLevelup.30120.CostMoney[string]	4
string: "B"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].131.2[string]	4
function: 00000140B49D04A0	registry.2[_G].package.loaded.coroutine.resume.[ups:function:debug_hook].[ups:function:_resume][line:624@file:../ScriptModule\LuaDebug.lua]	4
string: "X"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].135.2[string]	4
table: 00000140B495C8F0	registry.2[_G].LuaNFrame.asynMongoModule.[userdata:metatable]	4
function: 00000140B4A14B00	registry.2[_G].package.loaded.coroutine.resume.[ups:function:debug_hook].[ups:function:getSource].[ups:function:debugger_getFilePathInfo][line:738@file:../ScriptModule\LuaDebugjit.lua]	4
string: "D"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].138.2[string]	4
function: 00000140B4EFC0E0	registry.2[_G].package.loaded.MemoryReferenceInfo.m_cBases.OutputMemorySnapshot[line:635@file:../ScriptModule/gxlua/MemoryReferenceInfo.lua]	4
string: "1_60"	registry.2[_G].TableLevelup.10120.CostMoney[string]	4
table: 00000140B494E190	registry.2[_G].LuaNFrame.httpClientModule.[userdata:metatable]	4
string: "1_320"	registry.2[_G].TableLevelup.150020.CostMoney[string]	4
string: "2_3000000"	registry.2[_G].TableBuilding.5.OpenCost[string]	4
function: 00007FF69D5AC0D0	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debug_hook].[ups:function:_resume][line:-1@file:[C]]	4
string: "1_290"	registry.2[_G].TableLevelup.140020.CostMoney[string]	4
string: "p"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].8.2[string]	4
string: "%d"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].1.1[string]	4
table: 00000140B494E210	registry.2[_G].LuaNFrame.httpServerModule.[userdata:metatable]	4
function: 00000140B50E0F90	registry.2[_G].package.loaded.MemoryReferenceInfo.m_cBases.OutputMemorySnapshot.[ups:function:GetOriginalToStringResult][line:25@file:../ScriptModule/gxlua/MemoryReferenceInfo.lua]	4
table: 00000140B4953A40	registry.2[_G].LuaNFrame.mongoModule.[userdata:metatable]	4
string: "6"	registry.2[_G].TableLevelup.10003.ProduceMoney[string]	4
string: "u"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].11.2[string]	4
string: "1_230"	registry.2[_G].TableLevelup.120020.CostMoney[string]	4
string: "s"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].5.2[string]	4
string: "1_90"	registry.2[_G].TableLevelup.50100.CostMoney[string]	4
table: 00000140B4954340	registry.2[_G].NFINetClientModule.___class	4
string: "b"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].3.2[string]	4
table: 00000140B4954440	registry.2[_G].LuaNFrame.logModule.[userdata:metatable]	4
string: "1_140"	registry.2[_G].TableLevelup.90020.CostMoney[string]	4
string: "\b"	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_sendMsg].[ups:table:json].encode.[ups:table:json_private].encodeString.[ups:table:escapeList].[string]	3
string: "\""	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_sendMsg].[ups:table:json].encode.[ups:table:json_private].encodeString.[ups:table:escapeList]."[string]	3
function: 00000140B49E9460	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print][line:662@file:../ScriptModule\LuaDebug.lua]	3
string: "\\"	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_sendMsg].[ups:table:json].encode.[ups:table:json_private].encodeString.[ups:table:escapeList].\[string]	3
string: "1_210"	registry.2[_G].TableLevelup.60120.CostMoney[string]	3
function: 00007FF69D5D7DF0	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].setstats[line:-1@file:[C]]	3
function: 00007FF69D5D8640	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].getfd[line:-1@file:[C]]	3
function: 00007FF69D5AA930	registry.2[_G].protobuf.extract.[ups:function:rawget][line:-1@file:[C]]	3
function: 00000140B49C4500	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:table:json].decode.[ups:function:decode_scanWhitespace][line:522@file:../ScriptModule\LuaDebug.lua]	3
table: 00000140B495B0F0	registry.2[_G].PlayerAccountInfo.___class	3
function: 00007FF69D5D7CD0	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].send[line:-1@file:[C]]	3
string: "1_1200"	registry.2[_G].TableLevelup.190120.CostMoney[string]	3
string: "\/"	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_sendMsg].[ups:table:json].encode.[ups:table:json_private].encodeString.[ups:table:escapeList]./[string]	3
function: 00007FF69D5D8070	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].receive[line:-1@file:[C]]	3
string: "l"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.38[string]	3
string: "\n"	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_sendMsg].[ups:table:json].decode.[ups:function:decode_scanString].[ups:table:escapeSequences].\n[string]	3
